Accession(1),Accession(2)
P20226,P05412
P20226,P01100
Q92793,Q13469
P05412,P49841
P05412,P28482
P05412,P45984
P05412,P53779
P05412,P18847
P05412,P18848
P05412,P45983
P05412,P10275
P05412,P38398
P05412,P01100
P05412,Q8N1L9
P05412,Q03112
P05412,Q13330
P05412,P56279
P05412,P62988
P05412,P28347
P05412,P15407
P01100,P18848
P01100,Q03112
P01100,P56279
Q08209,Q13469
P01912,P01903
P01903,P04229
P13747,P61769
Q30201,P61769
P02786,P61769
P61769,P30491
P61769,O19691
P61769,P18464
P61769,P55899
P61769,P03989
P61769,Q95460
P61769,P15813
P25116,P00734
P00734,P05154
P00734,P00451
P12931,P78536
O15530,P78536
P62158,P02686
Q30201,P02786
Q30201,P62988
P02786,P02787
P02786,P02794
P02786,Q9UID3
P08709,P13726
P13726,Q53XJ8
P13726,P07237
P27797,P02675
Q09472,P04637
Q92793,P04637
P09874,P04637
Q00987,P04637
P04637,Q16594
P04637,P49848
P04637,P63279
P04637,Q13625
P04637,O15151
P04637,P62988
P04637,P09429
P04637,P15559
P04637,Q15648
P04637,P38398
P04637,P51587
P04637,Q12888
P04637,P06493
P04637,P49459
P04637,Q8N726
P04637,P31350
P04637,P27694
P04637,Q9NTD8
P04637,Q8WTS6
P04637,Q93009
P04637,P63165
P04637,Q8WUF5
P04637,O60936
P04637,Q9UER7
P04637,Q07817
P04637,P08047
P04637,Q96PM5
P04637,O14503
P04637,O14980
P04637,Q05086
P04637,Q13155
P04637,Q7LG56
P04637,O14920
P04637,Q06945
P04637,Q9Y297
P04637,P07900
P04637,Q16666
P04637,Q9NRG4
P04637,Q9NPI1
P04637,P61956
P04637,Q96EB6
P04637,Q8N163
P04637,P13693
P04637,Q6PCD5
P04637,Q9UHH9
P04637,Q9NRR4
P04637,P49407
P04637,O60341
P04637,Q92769
P04637,P49757
P04637,Q6NYC1
P04637,O15164
P04637,Q8NEZ4
P04637,Q6ZW49
P04637,Q15291
P04637,P61964
P04637,Q9UBL3
P04637,Q14686
P04637,P43356
P04637,O15379
P04637,Q96J02
P04637,Q06330
P04637,P15036
P04637,O95352
P04150,Q12888
Q12888,P62805
Q12888,P53350
Q12888,P63165
Q12888,Q14686
P06400,Q01094
P20226,Q01094
P09874,Q01094
Q14186,Q01094
Q14188,Q01094
Q16667,P24941
P06493,P20248
P12931,P20248
P20248,P24941
P20248,P38936
P20248,P12004
P20248,P46527
P20248,O43303
P20248,P31749
P20248,P31751
P20248,Q9Y243
P24385,P24941
P61024,P24941
P24941,P12004
P24941,P18858
P24941,P50613
P24941,P38936
P24941,P24864
P24941,P46527
P24941,P07305
P24941,Q9UQR0
P24941,O95835
Q01094,P19838
Q01094,Q8N726
Q01094,Q92547
Q01094,P38398
Q01094,P35232
Q01094,Q13547
Q01094,P49336
Q01094,Q9UPP1
Q01094,Q96JM7
Q01094,Q86X55
Q01094,Q9Y6Q9
P29375,P06400
P06400,P32519
P06400,P29374
P06400,Q13029
P06400,Q14209
P06400,P21675
P06400,Q14186
P06400,Q14188
P06400,Q00534
P06400,P17480
P06400,Q07161
P06400,Q13547
P06400,O00716
P06400,Q16254
P06400,P17947
P06400,Q99708
P06400,P43686
P06400,Q9Y676
P06400,P15976
P06400,P17542
P06400,Q00987
P06400,Q9BV86
P06400,P06748
P06400,Q9UKV8
P62993,P46527
P06493,P46527
P11802,P46527
P24864,P46527
Q13616,P46527
P62988,P46527
Q15418,P46527
