P29375,P06400
P06400,P32519
P06400,P29374
P06400,Q13029
P06400,Q14209
P06400,P21675
P06400,Q14186
P06400,Q14188
P06400,Q00534
P06400,P17480
P06400,Q07161
P06400,Q13547
P06400,Q01094
P06400,O00716
P06400,Q16254
P06400,P17947
P06400,Q99708
P06400,P43686
P06400,Q9Y676
P06400,P15976
P06400,P17542
P06400,Q00987
P06400,Q9BV86
P06400,P06748
P06400,Q9UKV8
P20226,P09086
P20226,P21675
P20226,Q15572
P20226,Q15544
P20226,Q15543
P20226,Q16514
P20226,P14859
P20226,P05412
P20226,Q16533
P20226,Q13487
P20226,P01100
P20226,Q00403
P20226,Q01094
P20226,P17947
P20226,P23193
P20226,Q12962
P20226,P06401
P22681,P46108
P22681,P05783
P22681,Q12965
P22681,P15498
P22681,P62993
P22681,P27986
P22681,P07948
P22681,P68036
P22681,P00533
P22681,P04062
P22681,P43403
P22681,P62837
P22681,Q9GZQ8
P46108,Q13905
P46108,P00519
P46108,P49023
P46108,Q14185
P46108,Q9H792
P46108,P62937
P27986,P06213
P27986,P08069
P27986,P35568
P27986,P09619
P27986,P21860
P27986,P42336
P27986,P42338
P27986,P10828
P27986,P10827
P27986,Q96AQ6
P27986,P03372
P27986,Q12959
P06213,P35568
P06213,P29353
P06213,P18031
P06213,Q14449
P06213,Q13322
P06213,P32121
P06213,P01308
P06213,P62988
P06213,Q99418
P06213,O43739
P06213,P62330
P06213,P26045
P31946,P04049
P31946,P30304
P31946,P30305
P31946,Q99759
P31946,P46937
P31946,P30307
P31946,P62258
P31946,P61981
P31946,P27348
P31946,P36405
P04049,P01112
P04049,Q6FHM2
P04049,P63104
P04049,P01111
P04049,P30304
P04049,P30305
P04049,Q02750
P04049,P30086
P04049,Q6TCH7
P04049,Q12967
P04049,P15056
P04049,P10398
P04049,O14807
P04049,P01116
P04049,Q13188
P04049,Q8IVT5
Q08999,P15172
Q08999,Q13547
Q08999,Q99708
Q08999,Q16254
P15172,P15923
Q08945,P17947
Q08945,Q7L7L0
P17947,P49716
P17947,P23769
P25490,Q09472
P25490,Q00403
P25490,P08047
P25490,P01106
P25490,Q03112
P25490,Q15545
Q09472,P04637
Q09472,P03372
Q09472,Q16665
Q09472,O15350
Q09472,Q06945
Q09472,Q00987
Q09472,Q13351
Q09472,P15941
Q09472,P35637
Q09472,Q92804
Q09472,Q01844
Q09472,P62988
Q09472,P56279
Q09472,Q9UL17
Q09472,Q8WXX7
Q92793,P36956
Q92793,P10243
Q92793,P16220
Q92793,P23769
Q92793,Q9Y265
Q92793,P04637
Q92793,Q12772
Q92793,Q13568
Q92793,Q14653
Q92793,Q13469
Q92793,Q06945
Q92793,Q13351
Q92793,Q13572
Q92793,P10242
Q92793,P62805
Q92793,P62988
Q92793,O00327
Q92793,Q9UL17
P36956,Q96RN5
P36956,O75586
P36956,Q15648
P36956,P49336
P36956,P62988
P15923,P15173
P15923,P09874
P15923,P19338
P15923,P17542
P15923,Q02363
P15923,O00268
P15884,Q02535
P15884,P35222
P15884,P55197
P15884,Q8TEK3
P15884,Q02363
Q02535,Q96HC4
P00519,Q13315
P00519,Q03135
P00519,P42229
P00519,P46109
Q13315,P15927
Q13315,P54274
Q13315,P16104
Q13315,Q15554
Q13315,P23921
Q13315,Q7LG56
Q13315,P13693
Q13315,Q5XUX0
Q13315,P46531
Q13315,O60934
Q13315,P50542
P02593,P35609
P02593,P17677
P02593,P23634
P35609,Q01668
P35609,Q9H2S1
P35609,P60709
Q15172,P31314
P18428,P08571
P08571,O60603
P10415,Q07812
P10415,Q07820
P10415,Q13323
P10415,Q99933
P10415,P55957
P10415,Q9C000
P10415,Q14457
P10415,Q13625
P10415,Q14643
P10415,P21796
Q07812,P62988
Q07812,Q07817
Q07812,Q07820
Q07812,Q92843
