1A02: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
1A6A: [['P01903', 'P01911'], ['P01903', 'P04233'], ['P01911', 'P04233']]
1AKJ: [['P04439', 'P61769'], ['P04439', 'P01732'], ['P61769', 'P01732']]
1AQD: [['P01903', 'P01911'], ['P01903', 'P04439'], ['P01911', 'P04439']]
1BHX: [['P00734', 'P00734'], ['P00734', 'P00734'], ['P00734', 'P00734']]
1BKC: [['P78536', 'P78536'], ['P78536', 'P78536'], ['P78536', 'P78536']]
1BX2: [['P01903', 'P01911'], ['P01903', 'P02686'], ['P01911', 'P02686']]
1DE4: [['Q30201', 'P61769'], ['Q30201', 'P02786'], ['P61769', 'P02786']]
1DX5: [['P00734', 'P07204'], ['P00734', 'P00734'], ['P07204', 'P00734']]
1EFX: [['P10321', 'P61769'], ['P10321', 'P43627'], ['P61769', 'P43627']]
1FAK: [['P13726', 'P08709'], ['P13726', 'P08709'], ['P08709', 'P08709']]
1FZA: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1FZB: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1FZC: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1FZE: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1GZH: [['P04637', 'Q12888'], ['P04637', 'P04637'], ['Q12888', 'P04637']]
1H24: [['P24941', 'Q01094'], ['P24941', 'P20248'], ['Q01094', 'P20248']]
1H25: [['P24941', 'P20248'], ['P24941', 'P06400'], ['P20248', 'P06400']]
1H26: [['P24941', 'P20248'], ['P24941', 'P04637'], ['P20248', 'P04637']]
1H27: [['P24941', 'P20248'], ['P24941', 'P46527'], ['P20248', 'P46527']]
1H28: [['P24941', 'P20248'], ['P24941', 'P28749'], ['P20248', 'P28749']]
1HQR: [['P01903', 'Q30154'], ['P01903', 'P02686'], ['Q30154', 'P02686']]
1I3O: [['P42574', 'P42574'], ['P42574', 'P98170'], ['P42574', 'P98170']]
1I51: [['P55210', 'P55210'], ['P55210', 'P98170'], ['P55210', 'P98170']]
1ICF: [['P07711', 'P07711'], ['P07711', 'P04233'], ['P07711', 'P04233']]
1IM9: [['P10321', 'P61769'], ['P10321', 'P43626'], ['P61769', 'P43626']]
1J1D: [['P63316', 'P45379'], ['P63316', 'P19429'], ['P45379', 'P19429']]
1J1E: [['P63316', 'P45379'], ['P63316', 'P19429'], ['P45379', 'P19429']]
1J9C: [['P13726', 'P08709'], ['P13726', 'P08709'], ['P08709', 'P08709']]
1JFI: [['Q14919', 'Q01658'], ['Q14919', 'P20226'], ['Q01658', 'P20226']]
1JMO: [['P00734', 'P00734'], ['P00734', 'P05546'], ['P00734', 'P05546']]
1JSU: [['P24941', 'P20248'], ['P24941', 'P46527'], ['P20248', 'P46527']]
1K3B: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
1L1O: [['P35244', 'P15927'], ['P35244', 'P27694'], ['P15927', 'P27694']]
1LM8: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
1LQB: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
1LT9: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1LTJ: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1M63: [['Q08209', 'P63098'], ['Q08209', 'P62937'], ['P63098', 'P62937']]
1MF8: [['Q08209', 'P63098'], ['Q08209', 'P62937'], ['P63098', 'P62937']]
1N86: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1N8E: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1NFI: [['Q04206', 'P19838'], ['Q04206', 'P25963'], ['P19838', 'P25963']]
1NP0: [['P07686', 'P07686'], ['P07686', 'P07686'], ['P07686', 'P07686']]
1NRN: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
1NRO: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
1NRP: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
1NRR: [['P00734', 'P00734'], ['P00734', 'P25116'], ['P00734', 'P25116']]
1NVV: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
1O5D: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1O9K: [['P06400', 'P06400'], ['P06400', 'Q01094'], ['P06400', 'Q01094']]
1OF2: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
1OGT: [['P01889', 'P61769'], ['P01889', 'P32241'], ['P61769', 'P32241']]
1OOK: [['P00734', 'P00734'], ['P00734', 'P07359'], ['P00734', 'P07359']]
1P22: [['Q9Y297', 'P63208'], ['Q9Y297', 'P35222'], ['P63208', 'P35222']]
1P7Q: [['P04439', 'P61769'], ['P04439', 'Q8NHL6'], ['P61769', 'Q8NHL6']]
1P8V: [['P07359', 'P00734'], ['P07359', 'P00734'], ['P00734', 'P00734']]
1P9M: [['P40189', 'P05231'], ['P40189', 'P08887'], ['P05231', 'P08887']]
1PK6: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
1QEW: [['P04439', 'P61769'], ['P04439', 'P43357'], ['P61769', 'P43357']]
1QRN: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
1QSF: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
1R4M: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
1R4N: [['Q13564', 'Q8TBC4'], ['Q13564', 'Q15843'], ['Q8TBC4', 'Q15843']]
1RE3: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1RE4: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1RF0: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1RF1: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
1RIW: [['P00734', 'P00734'], ['P00734', 'P00734'], ['P00734', 'P00734']]
1S9K: [['Q13469', 'P01100'], ['Q13469', 'P05412'], ['P01100', 'P05412']]
1SR5: [['P01008', 'P00734'], ['P01008', 'P00734'], ['P00734', 'P00734']]
1T08: [['P35222', 'Q9NSA3'], ['P35222', 'P25054'], ['Q9NSA3', 'P25054']]
1T2K: [['Q14653', 'P05412'], ['Q14653', 'P15336'], ['P05412', 'P15336']]
1T9G: [['P38117', 'P11310'], ['P38117', 'P13804'], ['P11310', 'P13804']]
1TB6: [['P00734', 'P00734'], ['P00734', 'P01008'], ['P00734', 'P01008']]
1TT5: [['Q13564', 'Q8TBC4'], ['Q13564', 'P61081'], ['Q8TBC4', 'P61081']]
1U6G: [['Q13616', 'P62877'], ['Q13616', 'Q86VP6'], ['P62877', 'Q86VP6']]
1UVQ: [['E9PMV2', 'P01920'], ['E9PMV2', 'O43612'], ['P01920', 'O43612']]
1VCB: [['Q15370', 'Q15369'], ['Q15370', 'P40337'], ['Q15369', 'P40337']]
1W0V: [['P01889', 'P61769'], ['P01889', 'P47974'], ['P61769', 'P47974']]
1W0W: [['P01889', 'P61769'], ['P01889', 'P47974'], ['P61769', 'P47974']]
1W0Y: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1W2K: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1W72: [['P04439', 'P61769'], ['P04439', 'P43355'], ['P61769', 'P43355']]
1WAA: [['Q8WZ42', 'Q8WZ42'], ['Q8WZ42', 'Q8WZ42'], ['Q8WZ42', 'Q8WZ42']]
1WQV: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1WSS: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1WTG: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1WUN: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1WV7: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
1XD2: [['P01112', 'P01112'], ['P01112', 'Q07889'], ['P01112', 'Q07889']]
1XV9: [['P19793', 'Q14994'], ['P19793', 'Q15788'], ['Q14994', 'Q15788']]
1XVP: [['P19793', 'Q14994'], ['P19793', 'Q15788'], ['Q14994', 'Q15788']]
1XWD: [['P01225', 'P23945'], ['P01225', 'P01215'], ['P23945', 'P01215']]
1Y8R: [['Q9UBE0', 'Q9UBT2'], ['Q9UBE0', 'P63165'], ['Q9UBT2', 'P63165']]
1Z6J: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2A1T: [['P11310', 'P38117'], ['P11310', 'P13804'], ['P38117', 'P13804']]
2A2Q: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2A74: [['P01024', 'P01024'], ['P01024', 'P01024'], ['P01024', 'P01024']]
2AEI: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2AER: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2ASS: [['P63208', 'Q13309'], ['P63208', 'P61024'], ['Q13309', 'P61024']]
2AST: [['P63208', 'Q13309'], ['P63208', 'P61024'], ['Q13309', 'P61024']]
2AZE: [['Q14186', 'Q01094'], ['Q14186', 'P06400'], ['Q01094', 'P06400']]
2B5T: [['P00734', 'P00734'], ['P00734', 'P01008'], ['P00734', 'P01008']]
2B7D: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2B8O: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2C9W: [['O14508', 'Q15370'], ['O14508', 'Q15369'], ['Q15370', 'Q15369']]
2CCH: [['P24941', 'P20248'], ['P24941', 'Q99741'], ['P20248', 'Q99741']]
2CCI: [['P24941', 'P20248'], ['P24941', 'Q99741'], ['P20248', 'Q99741']]
2CIK: [['P33260', 'O19626'], ['P33260', 'P61769'], ['O19626', 'P61769']]
2CLR: [['P04439', 'P61769'], ['P04439', 'P27797'], ['P61769', 'P27797']]
2CO0: [['P61964', 'P68431'], ['P61964', 'P61964'], ['P68431', 'P61964']]
2D31: [['P17693', 'P61769'], ['P17693', 'P16104'], ['P61769', 'P16104']]
2DJF: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
2DJG: [['P53634', 'P53634'], ['P53634', 'P53634'], ['P53634', 'P53634']]
2DSQ: [['P22692', 'Q9NP10'], ['P22692', 'P08833'], ['Q9NP10', 'P08833']]
2DSR: [['P05019', 'P22692'], ['P05019', 'P22692'], ['P22692', 'P22692']]
2DYP: [['P17693', 'P61769'], ['P17693', 'Q8N423'], ['P61769', 'Q8N423']]
2F53: [['P04439', 'P61769'], ['P04439', 'P01848'], ['P61769', 'P01848']]
2F8X: [['Q06330', 'P46531'], ['Q06330', 'Q92585'], ['P46531', 'Q92585']]
2F9B: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2FFD: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2FIR: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2FLB: [['P13726', 'P08709'], ['P13726', 'P08709'], ['P08709', 'P08709']]
2FLR: [['P08709', 'P08709'], ['P08709', 'P13726'], ['P08709', 'P13726']]
2GD4: [['P00742', 'P00742'], ['P00742', 'P01008'], ['P00742', 'P01008']]
2GL7: [['P35222', 'Q9NQB0'], ['P35222', 'O00512'], ['Q9NQB0', 'O00512']]
2H43: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2H62: [['P12643', 'P36894'], ['P12643', 'Q13705'], ['P36894', 'Q13705']]
2HLO: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2HOD: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2HPC: [['P02671', 'P02675'], ['P02671', 'P02679'], ['P02675', 'P02679']]
2HPQ: [['P00734', 'P00734'], ['P00734', 'P00734'], ['P00734', 'P00734']]
2HYE: [['Q16531', 'Q13619'], ['Q16531', 'P62877'], ['Q13619', 'P62877']]
2ICF: [['P01024', 'P01024'], ['P01024', 'Q9Y279'], ['P01024', 'Q9Y279']]
2IO2: [['Q9HC62', 'P63165'], ['Q9HC62', 'P46060'], ['P63165', 'P46060']]
2IO3: [['Q9HC62', 'P61956'], ['Q9HC62', 'P46060'], ['P61956', 'P46060']]
2IY0: [['Q9P0U3', 'P63165'], ['Q9P0U3', 'P46060'], ['P63165', 'P46060']]
2IZV: [['Q8WXH5', 'Q15370'], ['Q8WXH5', 'Q15369'], ['Q15370', 'Q15369']]
2J0U: [['P38919', 'P38919'], ['P38919', 'O15234'], ['P38919', 'O15234']]
2J8U: [['P04439', 'P61769'], ['P04439', 'Q9NPA0'], ['P61769', 'Q9NPA0']]
2JCC: [['P04439', 'P61769'], ['P04439', 'Q9NPA0'], ['P61769', 'Q9NPA0']]
2JG8: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
2JG9: [['P02745', 'P02746'], ['P02745', 'P02747'], ['P02746', 'P02747']]
2JIX: [['Q7Z3Y4', 'P19235'], ['Q7Z3Y4', 'Q6GMX6'], ['P19235', 'Q6GMX6']]
2KI4: [['P05230', 'Q99584'], ['P05230', 'Q99584'], ['Q99584', 'Q99584']]
2LXP: [['P60604', 'Q9UKV5'], ['P60604', 'Q9UKV5'], ['Q9UKV5', 'Q9UKV5']]
2LXT: [['Q92793', 'Q03164'], ['Q92793', 'P16220'], ['Q03164', 'P16220']]
2MSE: [['P02647', 'A0A024RAV5'], ['P02647', 'P10398'], ['A0A024RAV5', 'P10398']]
2MTP: [['P21333', 'P08514'], ['P21333', 'P05106'], ['P08514', 'P05106']]
2N13: [['Q9UM54', 'P0CG47'], ['Q9UM54', 'P0CG47'], ['P0CG47', 'P0CG47']]
2N1T: [['P60880', 'P60880'], ['P60880', 'P21579'], ['P60880', 'P21579']]
2NPP: [['P30153', 'Q13362'], ['P30153', 'P67775'], ['Q13362', 'P67775']]
